Time,Concentration,Ametrine
0.00,13.73340323,2712.494911
0.72,5.034059386,3792.418763
1.45,6.19733373,6006.14663
2.18,5.477535039,6213.255264
2.90,4.516295532,5045.247831
3.65,4.244583514,5632.452237
4.38,6.284892376,7225.070412
5.11,18.72154788,7898.656945
5.83,9.821722465,7496.874662
6.56,16.6869441,7849.517369
7.29,20.4685785,9103.757837
8.01,24.525468,8318.694858
8.74,30.10449287,9257.73765
9.47,45.72567631,9026.421306
10.20,65.82447166,9184.742515
10.93,94.50029727,8879.352624
11.66,128.7847259,9155.454346
12.39,187.8319868,8836.042812
13.12,271.5599212,8522.876465
13.85,381.6293261,8527.688251
14.57,563.2674519,8212.352186
15.30,830.8658351,8041.135385
16.03,1231.84586,7863.866403
16.76,1670.918527,7901.672619
17.49,2398.329639,7477.822579
18.22,3381.056709,7178.701064
18.95,4502.803382,7254.22728
19.68,4985.854783,8285.325188
20.41,5473.448571,8682.419743
21.14,5827.638182,8987.310869
21.87,5742.142857,8860.56594
22.61,6169.983953,8558.81422
23.34,6600.999732,7630.690226
24.07,6275.58674,7137.821152
24.80,6298.163013,6697.816791
25.53,6282.718309,6575.614031
26.27,6470.337624,6380.802813
27.01,6409.691825,6174.095091
27.74,6532.395158,6023.240938
28.47,6421.060062,5839.212801
29.20,6433.386316,5654.839551
29.94,6443.980441,5484.484086
30.67,6543.828459,5558.502832
31.40,6627.482845,5491.976508
32.13,6549.161776,5335.774752
32.86,6991.009699,4970.415254
33.59,6602.397073,5006.168531
34.33,6823.833398,5009.96509
35.06,7015.026403,4988.256578
35.80,7070.550328,4772.339133
36.53,7241.197666,4742.301579
37.25,7032.152234,4722.63605
37.99,7139.613579,4628.366014
38.72,7084.018005,4489.790914
39.46,7021.653538,4395.488109
